center, image, title, link ,press, regidate
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092914103134069_1.jpg, 올해 수도권 6억 이하 아파트  5년 이하 신축은 고작 9%, https://news.mt.co.kr/mtview.php?no=2022092914103134069&type=2&sec=estate&pDepth2=Etotal, 유엄식 기자, 2022.09.29 14:24
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092913382620621_1.jpg, 한국주택협회  노인복지시설에 쌀 500㎏ 전달, https://news.mt.co.kr/mtview.php?no=2022092913382620621&type=2&sec=estate&pDepth2=Etotal, 방윤영 기자, 2022.09.29 14:22
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092911290285727_1.jpg, [문답]"재건축부담금 완화 소급 적용…반포현대·연희빌라도 혜택", https://news.mt.co.kr/mtview.php?no=2022092911290285727&type=2&sec=estate&pDepth2=Etotal, 이소은 기자, 2022.09.29 13:33
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092910065959816_1.jpg, "더 큰 조세저항 온다"…재건축 부담금 풀었는데 반응 '싸늘'  왜?, https://news.mt.co.kr/mtview.php?no=2022092910065959816&type=2&sec=estate&pDepth2=Etotal, 배규민 기자, 2022.09.29 12:03
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092910475749828_1.jpg, 1.8억→4000만원 '뚝'…'억대' 재건축 부담금 단지 확 준다, https://news.mt.co.kr/mtview.php?no=2022092910475749828&type=2&sec=estate&pDepth2=Etotal, 이민하 기자, 2022.09.29 11:03
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092908570898952_1.jpg, 재건축 부담금 '억대' 감면…재건축 숨통 트인다, https://news.mt.co.kr/mtview.php?no=2022092908570898952&type=2&sec=estate&pDepth2=Etotal, 김희정 기자, 2022.09.29 11:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092908232255205_1.jpg, [문답]"지방 '재초환' 아파트 1/3로 줄어…재건축 활성화 기대", https://news.mt.co.kr/mtview.php?no=2022092908232255205&type=2&sec=estate&pDepth2=Etotal, 이소은 기자, 2022.09.29 11:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092908261981711_1.jpg, 은평 역촌중앙시장에 260가구와 청년복합센터 들어선다, https://news.mt.co.kr/mtview.php?no=2022092908261981711&type=2&sec=estate&pDepth2=Etotal, 방윤영 기자, 2022.09.29 09:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092814573060161_1.jpg, '조합원 지원비 7000만원씩'…한남2구역에 파격 조건 등장, https://news.mt.co.kr/mtview.php?no=2022092814573060161&type=2&sec=estate&pDepth2=Etotal, 방윤영 기자, 2022.09.29 06:30
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092816411789653_1.jpg, "계약갱신 끝  전셋값 막막"…서울시 최대 2억 대출이자 지원  자격은?, https://news.mt.co.kr/mtview.php?no=2022092816411789653&type=2&sec=estate&pDepth2=Etotal, 방윤영 기자, 2022.09.29 06:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092811563233514_1.jpg, [기자수첩]임대주택은 왜 '실험의 장'이 돼야 하나, https://news.mt.co.kr/mtview.php?no=2022092811563233514&type=2&sec=estate&pDepth2=Etotal, 유엄식 기자, 2022.09.29 06:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092815573851919_1.jpg, 빈 임대주택 3.2만가구…LH 손실추정액 1150억 달해, https://news.mt.co.kr/mtview.php?no=2022092815573851919&type=2&sec=estate&pDepth2=Etotal, 이민하 기자, 2022.09.28 17:17
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092816321938972_1.jpg, "따로 좀 만날래?" 코레일 5년간 '성비위' 관련 징계만 58건, https://news.mt.co.kr/mtview.php?no=2022092816321938972&type=2&sec=estate&pDepth2=Etotal, 이민하 기자, 2022.09.28 17:14
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092814431816879_1.jpg, 폭우·안개·통신교란에도 자율주행 가능해지나…실험장 마련됐다, https://news.mt.co.kr/mtview.php?no=2022092814431816879&type=2&sec=estate&pDepth2=Etotal, 화성(경기), 은 기자   2022.09.2
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092815250671581_1.jpg, 원희룡 장관 "전세사기범  지구 끝까지 쫓아가 벌하겠다", https://news.mt.co.kr/mtview.php?no=2022092815250671581&type=2&sec=estate&pDepth2=Etotal, 이민하 기자, 2022.09.28 16:10
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092813431789799_1.jpg, "우리 노조원 채용해"...정부  건설노조 '불법 갑질' 손본다, https://news.mt.co.kr/mtview.php?no=2022092813431789799&type=2&sec=estate&pDepth2=Etotal, 유엄식 기자, 2022.09.28 15:00
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092814113690120_1.jpg, 현대건설  '스마트건설 챌린지' 5개 부문서 혁신상…최다 수상, https://news.mt.co.kr/mtview.php?no=2022092814113690120&type=2&sec=estate&pDepth2=Etotal, 방윤영 기자, 2022.09.28 14:45
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092814242116475_1.jpg, GS건설  최고 49층 대구 '두류역자이' 분양...10월 5일 1순위 청약, https://news.mt.co.kr/mtview.php?no=2022092814242116475&type=2&sec=estate&pDepth2=Etotal, 유엄식 기자, 2022.09.28 14:42
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092814200982516_1.jpg, 대전 '둔산 더샵 엘리프' 10월 분양…총 2763가구 대단지, https://news.mt.co.kr/mtview.php?no=2022092814200982516&type=2&sec=estate&pDepth2=Etotal, 배규민 기자, 2022.09.28 14:41
머니투데이, https://thumb.mt.co.kr/04/2022/09/2022092809450910454_2.jpg, LH  6년 동안 노후 임대주택 고치는데 '3조' 투입…매년 늘어, https://news.mt.co.kr/mtview.php?no=2022092809450910454&type=2&sec=estate&pDepth2=Etotal, 조성준 기자, 2022.09.28 11:17
